Column1
Jméno rubriky,Název článku/videa,Views,Dokoukanost do 25 %,Dokoukanost do 50 %,Dokoukanost do 75 %,Dokoukanost do 100 %
Krimi,Policie na Kolínsku prověřuje vraždu, zadržela podezřelého,10740,70.77281191806331,58.78026070763502,42.68156424581006,37.42085661080075
Královéhradecký kraj,Kostel v Neratově má po 80 letech varhany, původně hrály v Karolinu,10006,80.1319208474915,66.60003997601439,59.18448930641615,51.55906456126325
Koktejl,Řidička v Číně prorazila na parkovišti u koupaliště živý plot a sjela i s dítětem do bazénu,9890,92.45702730030334,79.35288169868554,73.4479271991911,61.6582406471183
Hardware,Box, fotbal i štafeta. Humanoidní roboti se utkali na multisportovním klání v Číně,9532,92.7717163239614,86.09945446915653,77.01426772975242,64.08938313050776
Krimi,Předstíral koupi telefonu, místo peněz vytasil pepřák. Zloděje ovšem natočila kamera,9242,85.12226790737935,78.19735987881411,62.57303613936377,54.54447089374595
Krimi,Bělorus při jízdě přes Česko nechal v kamionu udusit Syřanku, hrozí mu 12 let,9134,91.86555725859427,85.8222027589227,78.58550470768557,74.75366761550252
Zahraniční,Muž založil požár na letišti v Itálii. Rozbíjel přepážky kladivem,8914,85.43863585371327,74.68027821404533,68.85797621718645,54.7789993269015
Hry a herní systémy,Za pět dní 800 tisíc prodaných kopií. Mafia: Domovina je hit,8859,68.91296986115815,56.82356925160853,44.13590698724461,31.50468450163675
Lifestyle,Linda s Markem poběží 700 km přes Alpy, aby se v Česku mohl vyrábět lék na rakovinu,8438,75.57478075373312,64.24508177293198,50.55700402939085,45.31879592320455
Hry a herní systémy,Gamescom 2025: Nejlepší videohry pro PC, konzole a mobily,8328,47.22622478386167,30.76368876080692,22.01008645533141,14.51729106628242
Hry a herní systémy,Gamescom 2025: Fanoušci očekávali senzace okolo GTA VI, odešli ale zklamaní,7988,73.43515272909364,64.4466700050075,55.18277416124187,46.98297446169254
Zahraniční,USA budují ambiciózní flotilu námořních dronů. Zatím je to velké fiasko,7938,85.14739229024943,72.19702695893172,72.14663643235072,72.02066011589821
Hlavní město Praha,Před ruskou ambasádou si srpen 1968 připomněly stovky lidí s ukrajinskými vlajkami,7674,59.29111284857962,43.15871774824082,33.43758144383633,26.43992702632265
Film,Neobratný anděl Keanu Reeves hledá smysl své práce. Komedie Boží úlet se blíží do kin,7513,80.02129641953947,67.34992679355784,60.28217755889791,46.49274590709437
Krimi,Dálnici D5 zablokovala nehoda dvou kamionů,7442,83.96936307444236,73.16581564095674,71.88927707605482,65.99032518140285
2. světová válka,Japonsko kapitulovalo. Jeho poslední voják bojoval dalších 29 let,7223,86.83372559878167,82.07116156721584,77.8485393880659,68.54492593105358
Koktejl,Mořská vlna v Indonésii smetla mladý pár z balvanu, když si pořizoval romantické selfie,6626,92.197404165409,76.38092363416843,75.6565046785391,69.69514035617266
Film,Dwayne Johnson je Mlátička. Sportovní drama vypráví skutečný příběh amerického zápasníka,6595,76.13343442001516,62.592873388931,52.61561789234268,36.34571645185747
Válka na Ukrajině,Ruské síly udeřily na Charkov a Sumy. Mezi mrtvými je roční dítě,6336,76.24684343434343,66.39835858585859,49.57386363636363,43.48169191919192
PoliTalk,Nenávistné reakce na můj status umělce jsem čekal. Nikdo to lidem ani nevysvětlil, říká básník Lipár,6281,5.954465849387041,3.072759114790638,2.356312689062251,1.416971819773921
Krimi,Nechal se zbytečně vyprovokovat a opilce pobodal. Dostal deset a půl roku,6138,92.63603779732811,92.08211143695014,83.38220918866081,2.264581296839361
Krimi,Při nehodě na Českobudějovicku zemřel mladý řidič,5952,82.96370967741935,69.53965053763442,68.6491935483871,63.52486559139785
Jihomoravský kraj,Slovenskou spalovnu tady nechceme, přišli říct Hladíkovi lidé ze Sudoměřic,5939,89.17326149183364,80.43441656844587,76.4270079137902,71.99865297188079
Krimi,Řidič na Plzeňsku nedal v křižovatce přednost. Po srážce skončilo pět lidí v nemocnici,5859,86.19218296637652,75.6784434203789,63.35552142003755,60.38573135347329
Válka na Ukrajině,Raketový útok na západě Ukrajiny, výbuchy jsou hlášeny ve Lvově a Mukačevu,5802,75.16373664253706,66.11513271285764,58.30748017924854,55.15339538090313
Film,RECENZE: Velký vlastenecký výlet přináší sondu do hlubin dezolátovy duše,5672,85.13751763046544,78.0148095909732,70.76868829337094,59.18547249647391
Jihomoravský kraj,Chátrající zámek v Bzenci dostává novou tvář, po rekonstrukci v něm bude městský úřad,5580,89.39068100358423,80.62724014336918,74.06810035842294,70.50179211469533
Hry a herní systémy,Gamescom 2025: Načasování nemohlo být horší, Sony zdražuje PlayStation 5,5355,74.32306255835668,57.94584500466854,51.61531279178339,43.24929971988796
Zahraniční,Zbytečná smrt. Dvanáctiletý chlapec plnil výzvu na TikToku,4997,82.04922953772264,74.38463077846707,67.68060836501901,65.17910746447869
Krimi,V Brně hořel bytový dům, seniorku zachraňovali policisté po žebříku půjčeném od sousedů,4980,72.38955823293173,57.08835341365462,48.93574297188755,40.86345381526104
Krimi,Policie dopadla muže, který měl v Praze osahávat ženy. Byla to klukovina, vysvětlil,4711,87.62470812990873,79.15516875398005,70.91912545107196,62.23731691785184
Koktejl,Letadlo s 62 cestujícími absolvovalo cestu z Floridy do Texasu s poškozeným křídlem,4694,91.8193438432041,87.45206646783127,86.47209203238177,82.48828291435876
Krimi,Vězni na Sokolovsku měli plánovat vraždu dozorce. Když jim to nevyšlo, chtěli shořet v cele,4540,89.91189427312776,89.33920704845815,82.86343612334802,82.79735682819384
Parlamentní volby,Motoristé rozjeli agitku na Barum Rally. Turka šéf závodu vyškrtl,4495,79.57730812013348,69.07675194660735,57.1301446051168,50.30033370411569
Počasí,Hurikán Erin se po řádění v Karibiku řítí na pobřeží USA a Kanady,4273,72.10390826117482,56.04961385443482,43.62274748420313,35.66580856541071
Ekonomika,Brněnský Zetor loni vykázal stamilionové ztráty, navíc skončilo 200 zaměstnanců,4181,88.54341066730447,84.97966993542215,80.69839751255681,78.52188471657499
Krimi,Úřad nepotrestal řidiče formule z dálnice D4. Identifikaci znemožnila helma,3956,90.14155712841254,82.25480283114257,80.48533872598584,77.30030333670375
Hlavní město Praha,Stavba tramvajové linky v Malešicích potrvá další dva roky,3779,68.6160359883567,54.27361735908971,44.50912939931199,35.90897062715004
Zlínský kraj,Modernizace železniční trati do Zlína začne do půl roku,3682,85.46985334057578,79.90222705051603,74.28028245518739,72.81368821292776
Mobil,Extrémně tenký mobil od Samsungu zamířil do Česka. Na začátek je o 7500 Kč levnější,3667,63.02154349604582,51.78620125443142,42.75974911371694,42.75974911371694
Domácí,Los Emil si pod policejním dohledem užil procházku nočním Hodonínem,3595,87.00973574408901,75.43810848400557,61.66898470097357,55.2712100139082
Válka na Ukrajině,Rusko bezprostředně po jednání ve Washingtonu podniklo rozsáhlé útoky na Ukrajině,3456,85.32986111111111,84.98263888888889,76.07060185185185,76.07060185185185
Krimi,Majitel zooparku ve Zvoli, kde policie zastřelila lva, odvezl levharta,3440,69.53488372093022,50.37790697674419,42.12209302325581,33.54651162790698
Krimi,Na Plzeňsku hořel bytový dům. Dva hasiči se zranili,3252,78.22878228782287,64.79089790897909,54.21279212792128,50.3690036900369
Zahraniční,Při zřícení atrakce z patnáctimetrové výšky se v Indii zranilo pět lidí,3072,94.07552083333334,82.64973958333334,81.34765625,75.65104166666666
Vtipy,Roztomilé přeřeknutí Kateřiny Konečné, nebo hrozivá pravda?,3053,83.32787422207664,80.60923681624631,74.77890599410416,74.77890599410416
Hardware,Gamescom 2025: Xbox i na cesty, nová konzole dorazí už v říjnu,2694,76.80029695619896,66.66666666666666,44.46919079435784,31.03192279138827
Věda a školy,Kanibalismus v pravěku: Od boje o přežití k brutálnímu vyhlazení nepřítele,2584,89.24148606811146,85.87461300309597,82.62383900928792,77.55417956656346
Divadlo,Generála Custera hraje přes dvacet let, Václav Vydra opět táhne na Little Bighorn,2578,68.85182311869667,56.0899922420481,46.43134212567882,38.6733902249806
Koktejl,Turista šel do výběhu ke krokodýlovi pro selfie v domnění, že je to atrapa. Nebyla,2526,94.2596991290578,87.60886777513855,80.48297703879652,72.64449722882027
Koktejl,Nová Grumpy Cat? Věčně zamračená kočka má možnou následovnici,2299,83.51457155284906,71.1613745106568,59.15615484993475,57.24227925184863
